Sylvan Caryatid	0/19749	18286/19749	19283/19749	19451/19749	19572/19749
Siege Rhino	0/19850	0/19850	7726/19850	17933/19850	18854/19850
Doomwake Giant	0/10803	0/10803	309/10803	5511/10803	9347/10803
Soul of Innistrad	0/5619	0/5619	2/5619	635/5619	2911/5619
Boon Satyr	0/10789	1032/10789	9701/10789	10329/10789	10528/10789
Polukranos, World Eater	0/5707	0/5707	2214/5707	5092/5707	5395/5707
See the Unwritten	0/10863	0/10863	6/10863	1303/10863	5768/10863
Soul of Theros	0/5706	0/5706	2/5706	670/5706	2998/5706
Elvish Mystic	7982/10958	10607/10958	10744/10958	10818/10958	10870/10958
Satyr Wayfinder	0/19713	18256/19713	19282/19713	19439/19713	19541/19713
Whip of Erebos	0/15491	0/15491	5723/15491	13831/15491	14631/15491
Murderous Cut	0/19635	0/19635	636/19635	10025/19635	16977/19635
Hero's Downfall	0/10790	436/10790	9284/10790	10160/10790	10444/10790
Wingmate Roc	0/10753	0/10753	255/10753	5192/10753	8877/10753
Hornet Queen	0/10819	0/10819	0/10819	103/10819	1861/10819
