Stubborn Denial	250/353	327/353	349/353	350/353	351/353
Sylvan Caryatid	0/402	375/402	392/402	398/402	399/402
Courser of Kruphix	0/316	0/316	279/316	300/316	310/316
Heir of the Wilds	0/411	388/411	405/411	408/411	409/411
Polukranos, World Eater	0/320	0/320	128/320	278/320	296/320
Force Away	0/132	120/132	130/132	131/132	131/132
Stormbreath Dragon	0/404	0/404	0/404	178/404	283/404
Crater's Claws	298/395	385/395	392/395	393/395	394/395
Rattleclaw Mystic	0/284	267/284	278/284	281/284	281/284
Temur Charm	0/208	0/208	188/208	200/208	203/208
Savage Knuckleblade	0/378	0/378	341/378	366/378	371/378
Reclamation Sage	0/103	0/103	98/103	102/103	102/103
Dig Through Time	0/112	0/112	0/112	0/112	2/112
