Ordeal of Heliod	0/51429	49782/51429	50956/51429	51140/51429	51251/51429
Gods Willing	165948/179981	179391/179981	179610/179981	179763/179981	179844/179981
Aqueous Form	32497/51028	46407/51028	47494/51028	48401/51028	49088/51028
Ajani's Presence	47311/51338	51174/51338	51237/51338	51275/51338	51297/51338
Ordeal of Thassa	0/180124	159579/180124	167258/180124	170594/180124	173161/180124
Heliod's Pilgrim	0/141646	0/141646	113013/141646	124004/141646	130657/141646
Feat of Resistance	0/51620	49884/51620	51120/51620	51301/51620	51422/51620
Stubborn Denial	32690/51182	46482/51182	47648/51182	48539/51182	49250/51182
Favored Hoplite	166389/180565	179929/180565	180157/180565	180327/180565	180410/180565
Defiant Strike	166736/180578	179974/180578	180196/180578	180356/180578	180437/180578
Seeker of the Way	0/141497	136822/141497	140167/141497	140658/141497	140979/141497
Hero of Iroas	0/181094	175244/181094	179364/181094	179973/181094	180387/181094
Stratus Walk	0/97732	86649/97732	90703/97732	92499/97732	93940/97732
Eidolon of Countless Battles	0/50866	0/50866	40218/50866	44261/50866	46762/50866
Battlewise Hoplite	0/180823	160167/180823	167836/180823	171129/180823	173712/180823
