Birds of Paradise	971/987	980/987	983/987	985/987	986/987
Lightning Bolt	3461/3615	3518/3615	3540/3615	3568/3615	3583/3615
Wild Nacatl	3499/3565	3527/3565	3538/3565	3545/3565	3552/3565
Geist of Saint Traft	0/3550	1333/3550	3164/3550	3338/3550	3429/3550
Tarmogoyf	0/3625	3559/3625	3587/3625	3605/3625	3609/3625
Path to Exile	2768/2820	2795/2820	2803/2820	2810/2820	2814/2820
Bant Charm	0/2007	707/2007	1775/2007	1883/2007	1941/2007
Abrupt Decay	0/2009	1853/2009	1908/2009	1950/2009	1976/2009
Siege Rhino	0/3577	0/3577	1259/3577	2706/3577	3021/3577
Noble Hierarch	3602/3670	3627/3670	3639/3670	3651/3670	3654/3670
Qasali Pridemage	0/1916	1864/1916	1887/1916	1900/1916	1906/1916
Tribal Flames	0/3575	3449/3575	3483/3575	3522/3575	3545/3575
